player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Alec Burks,SG,27,TOT,11536515,64,24,1375,192,474,0.405,61,168,0.363,131,306,0.428,0.469,116,141,0.823,30,205,235,128,39,21,65,91,561,0.408,0.084,0.015,0.093,0.028,0.047,0.044,8.766,2,3.672
Alex Abrines,SG,25,OKC,3667645,31,2,588,56,157,0.357,41,127,0.323,15,30,0.5,0.487,12,13,0.923,5,43,48,20,17,6,14,53,165,0.281,0.02,0.01,0.034,0.029,0.024,0.07,5.323,0.645,1.548
Allen Crabbe,SG,26,BRK,19332500,43,20,1133,137,373,0.367,98,259,0.378,39,114,0.342,0.499,41,56,0.732,16,132,148,46,23,13,46,102,413,0.365,0.036,0.011,0.041,0.02,0.041,0.086,9.605,1.07,3.442
Allonzo Trier,SG,23,NYK,3382000,64,3,1459,232,518,0.448,52,132,0.394,180,386,0.466,0.498,179,223,0.803,31,166,197,119,28,14,116,117,695,0.476,0.123,0.01,0.082,0.019,0.08,0.036,10.859,1.859,3.078
Anfernee Simons,SG,19,POR,1837800,20,1,141,28,63,0.444,10,29,0.345,18,34,0.529,0.524,9,16,0.563,3,10,13,13,1,0,11,9,75,0.532,0.064,0,0.092,0.007,0.078,0.071,3.75,0.65,0.65
Antonio Blakeney,SG,22,CHI,1349383,57,3,829,166,396,0.419,36,91,0.396,130,305,0.426,0.465,50,76,0.658,7,99,106,42,12,9,35,41,418,0.504,0.06,0.011,0.051,0.014,0.042,0.043,7.333,0.737,1.86
Austin Rivers,SG,26,TOT,13155324,76,15,2028,232,572,0.406,104,327,0.318,128,245,0.522,0.497,50,95,0.526,25,137,162,167,47,23,68,207,618,0.305,0.025,0.011,0.082,0.023,0.034,0.051,8.132,2.197,2.132
Avery Bradley,SG,28,TOT,12000000,63,63,1905,248,608,0.408,86,245,0.351,162,363,0.446,0.479,43,50,0.86,43,132,175,152,41,16,89,167,625,0.328,0.023,0.008,0.08,0.022,0.047,0.045,9.921,2.413,2.778
Bradley Beal,SG,25,WAS,25434262,82,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,0.54,362,448,0.808,89,322,411,448,121,58,224,226,2099,0.693,0.12,0.019,0.148,0.04,0.074,0.069,25.598,5.463,5.012
Bruce Brown,SG,22,DET,838464,74,56,1449,125,314,0.398,24,93,0.258,101,221,0.457,0.436,45,60,0.75,48,137,185,91,40,36,46,178,319,0.22,0.031,0.025,0.063,0.028,0.032,0.017,4.311,1.23,2.5
Bryn Forbes,SG,25,SAS,3125000,82,81,2293,361,791,0.456,176,413,0.426,185,378,0.489,0.568,69,78,0.885,18,221,239,175,45,4,80,159,967,0.422,0.03,0.002,0.076,0.02,0.035,0.077,11.793,2.134,2.915
Buddy Hield,SG,26,SAC,3833760,82,82,2615,623,1360,0.458,278,651,0.427,345,709,0.487,0.56,171,193,0.886,106,306,412,205,58,33,146,202,1695,0.648,0.065,0.013,0.078,0.022,0.056,0.106,20.671,2.5,5.024
CJ McCollum,SG,27,POR,25759766,70,70,2375,571,1243,0.459,167,445,0.375,404,798,0.506,0.527,159,192,0.828,62,220,282,207,55,28,106,172,1468,0.618,0.067,0.012,0.087,0.023,0.045,0.07,20.971,2.957,4.029
Courtney Lee,SG,33,TOT,12253780,34,6,428,53,129,0.411,16,55,0.291,37,74,0.5,0.473,14,21,0.667,9,45,54,37,21,3,14,32,136,0.318,0.033,0.007,0.086,0.049,0.033,0.037,4,1.088,1.588
Damion Lee,SG,26,GSW,77250,32,0,375,56,127,0.441,27,68,0.397,29,59,0.492,0.547,19,22,0.864,8,56,64,13,13,0,11,28,158,0.421,0.051,0,0.035,0.035,0.029,0.072,4.938,0.406,2
Damyean Dotson,SG,24,NYK,1378242,73,40,2004,290,698,0.415,126,342,0.368,164,356,0.461,0.506,73,98,0.745,34,228,262,135,58,10,71,135,779,0.389,0.036,0.005,0.067,0.029,0.035,0.063,10.671,1.849,3.589
Danny Green,SG,31,TOR,10000000,80,80,2216,293,630,0.465,198,435,0.455,95,195,0.487,0.622,37,44,0.841,60,257,317,126,73,53,75,171,821,0.37,0.017,0.024,0.057,0.033,0.034,0.089,10.262,1.575,3.962
David Nwaba,SG,26,CLE,1512601,51,14,984,126,262,0.481,24,75,0.32,102,187,0.545,0.527,58,85,0.682,41,122,163,54,36,17,29,106,334,0.339,0.059,0.017,0.055,0.037,0.029,0.024,6.549,1.059,3.196
DeMar DeRozan,SG,29,SAS,27739975,77,77,2688,631,1313,0.481,7,45,0.156,624,1268,0.492,0.483,366,441,0.83,54,408,462,475,86,36,199,177,1635,0.608,0.136,0.013,0.177,0.032,0.074,0.003,21.234,6.169,6
Deonte Burton,SG,25,OKC,500000,32,0,240,33,82,0.402,8,27,0.296,25,55,0.455,0.451,8,12,0.667,4,24,28,9,6,8,9,31,82,0.342,0.033,0.033,0.038,0.025,0.038,0.033,2.562,0.281,0.875
Devin Booker,SG,22,PHO,3314365,64,64,2242,586,1255,0.467,135,414,0.326,451,841,0.536,0.521,393,454,0.866,39,226,265,433,56,13,264,200,1700,0.758,0.175,0.006,0.193,0.025,0.118,0.06,26.562,6.766,4.141
Dion Waiters,SG,27,MIA,12705000,44,28,1138,198,478,0.414,109,289,0.377,89,189,0.471,0.528,22,44,0.5,7,109,116,121,29,9,64,72,527,0.463,0.019,0.008,0.106,0.025,0.056,0.096,11.977,2.75,2.636
Donovan Mitchell,SG,22,UTA,3111480,77,77,2598,661,1530,0.432,188,519,0.362,473,1011,0.468,0.493,319,396,0.806,59,257,316,322,106,31,218,208,1829,0.704,0.123,0.012,0.124,0.041,0.084,0.072,23.753,4.182,4.104
Donte DiVincenzo,SG,22,MIL,2484360,27,0,411,50,124,0.403,22,83,0.265,28,41,0.683,0.492,9,12,0.75,16,49,65,31,13,6,19,38,131,0.319,0.022,0.015,0.075,0.032,0.046,0.054,4.852,1.148,2.407
Dwayne Bacon,SG,23,CHO,1378242,43,13,759,122,257,0.475,38,87,0.437,84,170,0.494,0.549,34,46,0.739,8,81,89,47,12,5,18,72,316,0.416,0.045,0.007,0.062,0.016,0.024,0.05,7.349,1.093,2.07
Dwyane Wade,SG,37,MIA,2393887,72,2,1885,416,960,0.433,86,261,0.33,330,699,0.472,0.478,165,233,0.708,69,216,285,301,59,38,166,118,1083,0.575,0.088,0.02,0.16,0.031,0.088,0.046,15.042,4.181,3.958
E'Twaun Moore,SG,29,NOP,8808685,53,36,1463,256,532,0.481,76,176,0.432,180,356,0.506,0.553,45,59,0.763,35,92,127,102,40,8,59,112,633,0.433,0.031,0.005,0.07,0.027,0.04,0.052,11.943,1.925,2.396
Eric Gordon,SG,30,HOU,13500375,68,53,2158,384,938,0.409,216,600,0.36,168,338,0.497,0.525,119,152,0.783,17,131,148,129,41,27,90,143,1103,0.511,0.055,0.013,0.06,0.019,0.042,0.1,16.221,1.897,2.176
Evan Fournier,SG,26,ORL,17000000,81,81,2553,468,1069,0.438,153,450,0.34,315,619,0.509,0.509,137,170,0.806,38,220,258,295,71,12,154,225,1226,0.48,0.054,0.005,0.116,0.028,0.06,0.06,15.136,3.642,3.185
Furkan Korkmaz,SG,21,PHI,1740000,48,7,679,98,245,0.4,47,144,0.326,51,101,0.505,0.496,36,44,0.818,16,91,107,52,29,2,25,62,279,0.411,0.053,0.003,0.077,0.043,0.037,0.069,5.812,1.083,2.229
Garrett Temple,SG,32,TOT,8000000,75,55,2040,208,493,0.422,90,264,0.341,118,229,0.515,0.513,80,107,0.748,28,188,216,106,76,30,70,204,586,0.287,0.039,0.015,0.052,0.037,0.034,0.044,7.813,1.413,2.88
Gary Harris,SG,24,DEN,16517857,57,48,1639,270,637,0.424,82,242,0.339,188,395,0.476,0.488,115,144,0.799,41,119,160,127,55,19,68,113,737,0.45,0.07,0.012,0.077,0.034,0.041,0.05,12.93,2.228,2.807
Gerald Green,SG,33,HOU,1512601,73,0,1473,231,578,0.4,156,441,0.354,75,137,0.547,0.535,57,68,0.838,30,152,182,40,33,27,55,126,675,0.458,0.039,0.018,0.027,0.022,0.037,0.106,9.247,0.548,2.493
Grayson Allen,SG,23,UTA,2076960,38,2,416,67,178,0.376,32,99,0.323,35,79,0.443,0.466,45,60,0.75,3,20,23,25,6,6,33,47,211,0.507,0.108,0.014,0.06,0.014,0.079,0.077,5.553,0.658,0.605
Hamidou Diallo,SG,20,OKC,838464,51,3,526,75,165,0.455,4,24,0.167,71,141,0.504,0.467,36,59,0.61,38,59,97,17,21,10,23,77,190,0.361,0.068,0.019,0.032,0.04,0.044,0.008,3.725,0.333,1.902
Ian Clark,SG,27,NOP,1757429,60,6,973,151,383,0.394,66,202,0.327,85,181,0.47,0.48,33,37,0.892,13,76,89,94,22,8,58,95,401,0.412,0.034,0.008,0.097,0.023,0.06,0.068,6.683,1.567,1.483
Iman Shumpert,SG,28,TOT,11011234,62,41,1481,167,446,0.374,95,273,0.348,72,173,0.416,0.481,36,45,0.8,27,156,183,112,59,24,50,127,465,0.314,0.024,0.016,0.076,0.04,0.034,0.064,7.5,1.806,2.952
Jacob Evans,SG,21,GSW,1646400,30,1,204,18,53,0.34,4,15,0.267,14,38,0.368,0.377,0,1,0,6,19,25,23,5,3,11,28,40,0.196,0,0.015,0.113,0.025,0.054,0.02,1.333,0.767,0.833
Jamal Crawford,SG,38,PHO,4698113,64,0,1211,174,438,0.397,67,202,0.332,107,236,0.453,0.474,93,110,0.845,8,77,85,229,33,12,99,75,508,0.419,0.077,0.01,0.189,0.027,0.082,0.055,7.938,3.578,1.328
Jaylen Brown,SG,22,BOS,5169960,74,25,1913,368,792,0.465,95,276,0.344,273,516,0.529,0.525,133,202,0.658,65,248,313,100,69,32,99,186,964,0.504,0.07,0.017,0.052,0.036,0.052,0.05,13.027,1.351,4.23
Jeremy Lamb,SG,26,CHO,7000000,79,55,2250,431,979,0.44,115,330,0.348,316,649,0.487,0.499,231,260,0.888,65,369,434,172,88,32,80,140,1208,0.537,0.103,0.014,0.076,0.039,0.036,0.051,15.291,2.177,5.494
Jerome Robinson,SG,21,LAC,3050160,33,0,320,44,110,0.4,18,57,0.316,26,53,0.491,0.482,6,9,0.667,3,38,41,19,11,3,13,46,112,0.35,0.019,0.009,0.059,0.034,0.041,0.056,3.394,0.576,1.242
Joe Harris,SG,27,BRK,8333333,76,76,2293,374,748,0.5,183,386,0.474,191,362,0.528,0.622,110,133,0.827,52,239,291,181,38,17,121,182,1041,0.454,0.048,0.007,0.079,0.017,0.053,0.08,13.697,2.382,3.829
John Jenkins,SG,27,TOT,585809,26,0,333,42,105,0.4,22,58,0.379,20,47,0.426,0.505,15,18,0.833,6,31,37,22,0,2,9,10,121,0.363,0.045,0.006,0.066,0,0.027,0.066,4.654,0.846,1.423
Jordan Clarkson,SG,26,CLE,12500000,81,0,2214,529,1180,0.448,144,445,0.324,385,735,0.524,0.509,162,192,0.844,82,188,270,196,57,13,135,112,1364,0.616,0.073,0.006,0.089,0.026,0.061,0.065,16.84,2.42,3.333
Jordan McRae,SG,27,WAS,77250,27,0,333,61,130,0.469,10,35,0.286,51,95,0.537,0.508,28,35,0.8,6,34,40,30,13,7,15,26,160,0.48,0.084,0.021,0.09,0.039,0.045,0.03,5.926,1.111,1.481
Josh Hart,SG,23,LAL,1655160,67,22,1715,189,464,0.407,92,274,0.336,97,190,0.511,0.506,55,80,0.688,35,213,248,93,64,40,58,147,525,0.306,0.032,0.023,0.054,0.037,0.034,0.054,7.836,1.388,3.701
Josh Jackson,SG,21,PHO,6041520,79,29,1988,347,841,0.413,73,225,0.324,274,616,0.445,0.456,143,213,0.671,66,281,347,183,74,56,173,209,910,0.458,0.072,0.028,0.092,0.037,0.087,0.037,11.519,2.316,4.392
Josh Okogie,SG,20,MIN,2163600,74,52,1757,196,508,0.386,60,215,0.279,136,293,0.464,0.445,118,162,0.728,41,177,218,91,88,33,63,166,570,0.324,0.067,0.019,0.052,0.05,0.036,0.034,7.703,1.23,2.946
Josh Richardson,SG,25,MIA,9367200,73,73,2539,423,1026,0.412,164,460,0.357,259,566,0.458,0.492,199,231,0.861,54,209,263,298,79,34,113,200,1209,0.476,0.078,0.013,0.117,0.031,0.045,0.065,16.562,4.082,3.603
Jrue Holiday,SG,28,NOP,26641111,67,67,2402,547,1159,0.472,118,363,0.325,429,796,0.539,0.523,208,271,0.768,75,259,334,518,109,54,210,148,1420,0.591,0.087,0.022,0.216,0.045,0.087,0.049,21.194,7.731,4.985
Justin Holiday,SG,29,TOT,4500000,82,77,2607,300,777,0.386,162,465,0.348,138,312,0.442,0.49,95,106,0.896,46,277,323,146,121,36,104,164,857,0.329,0.036,0.014,0.056,0.046,0.04,0.062,10.451,1.78,3.939
Kent Bazemore,SG,29,ATL,18089888,67,35,1643,278,691,0.402,96,300,0.32,182,391,0.465,0.472,127,175,0.726,37,224,261,152,89,42,121,170,779,0.474,0.077,0.026,0.093,0.054,0.074,0.058,11.627,2.269,3.896
Kentavious Caldwell-Pope,SG,25,LAL,12000000,82,23,2035,325,756,0.43,151,435,0.347,174,321,0.542,0.53,137,158,0.867,48,190,238,110,73,13,65,137,938,0.461,0.067,0.006,0.054,0.036,0.032,0.074,11.439,1.341,2.902
Kevin Huerter,SG,20,ATL,2250960,75,59,2048,275,657,0.419,136,353,0.385,139,304,0.457,0.522,41,56,0.732,60,185,245,214,65,25,109,155,727,0.355,0.02,0.012,0.104,0.032,0.053,0.066,9.693,2.853,3.267
Khyri Thomas,SG,22,DET,838464,26,0,195,22,69,0.319,10,35,0.286,12,34,0.353,0.391,7,11,0.636,4,16,20,8,7,5,4,22,61,0.313,0.036,0.026,0.041,0.036,0.021,0.051,2.346,0.308,0.769
Klay Thompson,SG,28,GSW,18988725,78,78,2652,655,1402,0.467,241,599,0.402,414,803,0.516,0.553,129,158,0.816,37,262,299,186,84,47,115,157,1680,0.633,0.049,0.018,0.07,0.032,0.043,0.091,21.538,2.385,3.833
Lance Stephenson,SG,28,LAL,4449000,68,3,1123,184,432,0.426,73,197,0.371,111,235,0.472,0.51,50,73,0.685,32,183,215,140,41,7,86,111,491,0.437,0.045,0.006,0.125,0.037,0.077,0.065,7.221,2.059,3.162
Landry Shamet,SG,21,TOT,1705920,79,27,1802,240,557,0.431,167,396,0.422,73,161,0.453,0.581,75,93,0.806,21,113,134,117,37,10,45,155,722,0.401,0.042,0.006,0.065,0.021,0.025,0.093,9.139,1.481,1.696
Langston Galloway,SG,27,DET,7000000,80,4,1745,228,587,0.388,135,380,0.355,93,207,0.449,0.503,81,96,0.844,49,122,171,85,37,8,24,135,672,0.385,0.046,0.005,0.049,0.021,0.014,0.077,8.4,1.062,2.138
Luke Kennard,SG,22,DET,3275280,63,10,1437,228,520,0.438,106,269,0.394,122,251,0.486,0.54,51,61,0.836,12,171,183,114,26,10,57,92,613,0.427,0.035,0.007,0.079,0.018,0.04,0.074,9.73,1.81,2.905
Malachi Richardson,SG,23,TOR,1569360,22,0,103,9,29,0.31,8,25,0.32,1,4,0.25,0.448,4,5,0.8,2,11,13,0,1,0,8,13,30,0.291,0.039,0,0,0.01,0.078,0.078,1.364,0,0.591
Malcolm Brogdon,SG,26,MIL,1544951,64,64,1832,378,748,0.505,104,244,0.426,274,504,0.544,0.575,141,152,0.928,65,223,288,205,46,13,91,102,1001,0.546,0.077,0.007,0.112,0.025,0.05,0.057,15.641,3.203,4.5
Malik Beasley,SG,22,DEN,1773840,81,18,1879,349,737,0.474,163,405,0.402,186,332,0.56,0.584,56,66,0.848,35,165,200,97,55,10,55,116,917,0.488,0.03,0.005,0.052,0.029,0.029,0.087,11.321,1.198,2.469
Malik Monk,SG,20,CHO,3447480,73,0,1258,227,586,0.387,109,330,0.33,118,256,0.461,0.48,90,102,0.882,16,121,137,117,37,19,86,106,653,0.519,0.072,0.015,0.093,0.029,0.068,0.087,8.945,1.603,1.877
Marco Belinelli,SG,32,SAS,6153846,79,1,1815,285,690,0.413,147,395,0.372,138,295,0.468,0.52,112,124,0.903,16,182,198,132,35,8,72,121,829,0.457,0.062,0.004,0.073,0.019,0.04,0.081,10.494,1.671,2.506
Marcus Smart,SG,24,BOS,11160716,80,60,2200,239,567,0.422,126,346,0.364,113,221,0.511,0.533,104,129,0.806,57,177,234,321,143,28,123,201,708,0.322,0.047,0.013,0.146,0.065,0.056,0.057,8.85,4.013,2.925
MarShon Brooks,SG,30,MEM,1656092,29,0,387,76,169,0.45,15,54,0.278,61,115,0.53,0.494,23,33,0.697,12,33,45,25,9,4,21,33,190,0.491,0.059,0.01,0.065,0.023,0.054,0.039,6.552,0.862,1.552
Nik Stauskas,SG,25,TOT,2161886,68,0,1015,136,338,0.402,70,188,0.372,66,150,0.44,0.506,57,64,0.891,18,109,127,81,21,7,51,50,399,0.393,0.056,0.007,0.08,0.021,0.05,0.069,5.868,1.191,1.868
Norman Powell,SG,25,TOR,9367200,60,3,1126,193,400,0.483,68,170,0.4,125,230,0.543,0.568,62,75,0.827,16,123,139,91,39,13,65,96,516,0.458,0.055,0.012,0.081,0.035,0.058,0.06,8.6,1.517,2.317
Pat Connaughton,SG,26,MIL,1641000,61,2,1261,163,350,0.466,66,200,0.33,97,150,0.647,0.56,29,40,0.725,61,197,258,122,33,25,33,81,421,0.334,0.023,0.02,0.097,0.026,0.026,0.052,6.902,2,4.23
Patrick McCaw,SG,23,TOT,964104,29,1,397,26,63,0.413,9,28,0.321,17,35,0.486,0.484,13,15,0.867,7,41,48,29,23,2,17,38,74,0.186,0.033,0.005,0.073,0.058,0.043,0.023,2.552,1,1.655
Reggie Bullock,SG,27,TOT,2500000,63,60,1879,245,594,0.412,148,393,0.377,97,201,0.483,0.537,73,85,0.859,22,151,173,129,40,12,65,109,711,0.378,0.039,0.006,0.069,0.021,0.035,0.079,11.286,2.048,2.746
Rodney Hood,SG,26,TOT,3472887,72,49,1893,292,671,0.435,84,236,0.356,208,435,0.478,0.498,137,155,0.884,25,132,157,126,59,12,55,146,805,0.425,0.072,0.006,0.067,0.031,0.029,0.044,11.181,1.75,2.181
Rodney McGruder,SG,27,MIA,1544951,66,45,1550,186,461,0.403,79,225,0.351,107,236,0.453,0.489,52,72,0.722,60,178,238,112,36,12,64,115,503,0.325,0.034,0.008,0.072,0.023,0.041,0.051,7.621,1.697,3.606
Ryan Broekhoff,SG,28,DAL,838464,42,0,453,57,126,0.452,38,93,0.409,19,33,0.576,0.603,15,19,0.789,8,55,63,22,6,4,16,35,167,0.369,0.033,0.009,0.049,0.013,0.035,0.084,3.976,0.524,1.5
Seth Curry,SG,28,POR,2795000,74,2,1399,212,465,0.456,113,251,0.45,99,214,0.463,0.577,44,52,0.846,27,93,120,66,36,12,61,97,581,0.415,0.031,0.009,0.047,0.026,0.044,0.081,7.851,0.892,1.622
Shake Milton,SG,22,PHI,77250,20,0,268,34,87,0.391,14,44,0.318,20,43,0.465,0.471,5,7,0.714,9,26,35,18,8,8,6,29,87,0.325,0.019,0.03,0.067,0.03,0.022,0.052,4.35,0.9,1.75
Sindarius Thornwell,SG,24,LAC,1378242,64,1,313,17,49,0.347,3,15,0.2,14,34,0.412,0.378,25,34,0.735,5,39,44,18,14,7,20,41,62,0.198,0.08,0.022,0.058,0.045,0.064,0.01,0.969,0.281,0.688
Sterling Brown,SG,23,MIL,1378242,58,7,1034,145,312,0.465,53,147,0.361,92,165,0.558,0.55,29,42,0.69,29,155,184,84,25,8,46,88,372,0.36,0.028,0.008,0.081,0.024,0.044,0.051,6.414,1.448,3.172
Terrance Ferguson,SG,20,OKC,2118840,74,74,1931,185,431,0.429,106,290,0.366,79,141,0.56,0.552,37,51,0.725,33,108,141,72,40,16,47,231,513,0.266,0.019,0.008,0.037,0.021,0.024,0.055,6.932,0.973,1.905
Terrence Ross,SG,27,ORL,10500000,81,0,2150,440,1027,0.428,217,566,0.383,223,461,0.484,0.534,126,144,0.875,27,253,280,135,72,29,90,119,1223,0.569,0.059,0.013,0.063,0.033,0.042,0.101,15.099,1.667,3.457
Tim Hardaway,SG,26,TOT,17325000,65,63,2057,390,993,0.393,162,477,0.34,228,516,0.442,0.474,232,276,0.841,33,189,222,159,54,8,105,141,1174,0.571,0.113,0.004,0.077,0.026,0.051,0.079,18.062,2.446,3.415
Treveon Graham,SG,25,BRK,1512601,35,21,715,64,191,0.335,38,128,0.297,26,63,0.413,0.435,18,22,0.818,23,84,107,34,13,7,17,68,184,0.257,0.025,0.01,0.048,0.018,0.024,0.053,5.257,0.971,3.057
Troy Daniels,SG,27,PHO,3258539,51,1,760,113,275,0.411,74,194,0.381,39,81,0.481,0.545,18,23,0.783,13,60,73,26,26,5,27,79,318,0.418,0.024,0.007,0.034,0.034,0.036,0.097,6.235,0.51,1.431
Tyler Dorsey,SG,22,TOT,1378242,48,11,698,107,264,0.405,44,132,0.333,63,132,0.477,0.489,38,61,0.623,27,86,113,56,14,2,27,53,296,0.424,0.054,0.003,0.08,0.02,0.039,0.063,6.167,1.167,2.354
Tyreke Evans,SG,29,IND,12400000,69,18,1402,257,660,0.389,77,216,0.356,180,444,0.405,0.448,115,160,0.719,33,168,201,166,58,18,118,117,706,0.504,0.082,0.013,0.118,0.041,0.084,0.055,10.232,2.406,2.913
Victor Oladipo,SG,26,IND,21000000,36,36,1147,249,588,0.423,74,216,0.343,175,372,0.47,0.486,103,141,0.73,21,181,202,186,60,11,82,72,675,0.588,0.09,0.01,0.162,0.052,0.071,0.065,18.75,5.167,5.611
Wayne Ellington,SG,31,TOT,8653076,53,38,1297,184,457,0.403,138,372,0.371,46,85,0.541,0.554,39,49,0.796,14,93,107,72,54,6,40,92,545,0.42,0.03,0.005,0.056,0.042,0.031,0.106,10.283,1.358,2.019
Wayne Selden,SG,24,TOT,1544951,75,13,1439,196,483,0.406,55,174,0.316,141,309,0.456,0.463,67,92,0.728,37,143,180,109,33,13,79,131,514,0.357,0.047,0.009,0.076,0.023,0.055,0.038,6.853,1.453,2.4
Will Barton,SG,28,DEN,11830358,43,38,1189,185,460,0.402,67,196,0.342,118,264,0.447,0.475,57,74,0.77,32,167,199,124,18,22,65,82,494,0.415,0.048,0.019,0.104,0.015,0.055,0.056,11.488,2.884,4.628
Zach LaVine,SG,23,CHI,19500000,63,62,2171,530,1135,0.467,120,321,0.374,410,814,0.504,0.52,312,375,0.832,40,254,294,283,60,26,215,140,1492,0.687,0.144,0.012,0.13,0.028,0.099,0.055,23.683,4.492,4.667
